10096	4843086	 R00027	 R00078	4731374	 R00060	 R00067	 R00077	 R00050	 R00059	 E13184	4886812																																																																																																																									
10097	0																																																																																																																																			
10098	5464826	4808614																																																																																																																																		
10099	0																																																																																																																																			
1009	5542115	7792492	7570954	7555267	7728439																																																																																																																															
100	6570857	5925803	7756129	5087571	4736866																																																																																																																															
10100	2020593																																																																																																																																			
10101	6776304	6672115	6299793	5664445	7225649	6055832	7165426	6773132	6582622																																																																																																																											
10102	6763345	6243725																																																																																																																																		
10103	5686838																																																																																																																																			
10104	5542603																																																																																																																																			
10105	6418683	6397547	6101778	6421970																																																																																																																																
10106	5464826	4808614																																																																																																																																		
10107	5894554	6260019																																																																																																																																		
10108	6422673	5339832	6679573	1664013	6298577	6266892	5352605																																																																																																																													
10109	5214804	3725956	4250577	2039478	6272690																																																																																																																															
1010	7299258	7590655	7062515	8117152	5805809	7287055	6119151																																																																																																																													
10110	1974951																																																																																																																																			
10111	6936999	6949916	7000125	7049798																																																																																																																																
10112	7086537	6983851	7070692	6986426	6554139	7163623	6797168																																																																																																																													
10113	6986426	6797168	7163623																																																																																																																																	
10114	6269904	 D440023																																																																																																																																		
10115	0																																																																																																																																			
10116	0																																																																																																																																			
10117	4690405	3999756	 E33372																																																																																																																																	
10118	6071062	3541598																																																																																																																																		
10119	6527271	5831527	6520857	5494147	5063811	6785198	5819593	6165069	6154131	6717890	5010782	6313871	5385068	6517436	4814589	6530837	4531187	5781647	5735742	5283422	5748575	6662239	6579181	6579180	6222799	6530836	5241936	6529857	5460061	5651548	6712696	5586936																																																																																																				
1011	7682628	8242131	7658945	8252809																																																																																																																																
10120	5938197																																																																																																																																			
10121	5568207	7086537	6983851	7070692	6986426	6554139	 E37545	7163623	6164774	6797168																																																																																																																										
10122	6080971	5216743	5886880	6246831																																																																																																																																
10123	0																																																																																																																																			
10124	5725865	6519629	5843466																																																																																																																																	
10125	0																																																																																																																																			
10126	5214804	6272690	4300240	4825474																																																																																																																																
10127	6044471	5049132	5538510	5843032	5961765	4753765	4906244	5820594	5824173	6027477	5047045	6785825	6471673																																																																																																																							
10128	595967	5207675																																																																																																																																		
10129	5715445	6301576	7103594	6604103	5946682																																																																																																																															
1012	7999007																																																																																																																																			
10130	7006608	7227929	3311722																																																																																																																																	
10131	5792659	5812127	5530961	6476351	5831608	6295075	6331415																																																																																																																													
10132	6586367	2022024																																																																																																																																		
10133	6650327	6885376	6292200	6567083																																																																																																																																
10134	0																																																																																																																																			
10135	34441	5895385	34445	6238415	6010498																																																																																																																															
10136	0																																																																																																																																			
10137	6375321	6042194	6231179	6520596																																																																																																																																
10138	6851073	6826661	5469573	5112311	6820214	5496573	5588147	5838906																																																																																																																												
10139	5501036	1273740	1573625	6054270																																																																																																																																
1013	6765117	4668814	5153222	159784	4306075																																																																																																																															
10140	0																																																																																																																																			
10141	4464812	5848815																																																																																																																																		
10142	0																																																																																																																																			
10143	6904796																																																																																																																																			
10144	0																																																																																																																																			
10145	0																																																																																																																																			
10146	5782431	6126111																																																																																																																																		
10147	0																																																																																																																																			
10148	4927430	5063732																																																																																																																																		
10149	0																																																																																																																																			
1014	8096406	4200888	7712513																																																																																																																																	
10150	D000458	 D000132	 D000440	4368963	1000000	6142637	4663562	 D001534	4245242	 D000487	4219843	4515442	 D000650	4209691	6467914	 D000154	 D000597																																																																																																																			
10151	0																																																																																																																																			
10152	0																																																																																																																																			
10153	5276311																																																																																																																																			
10154	2521328	5243627	1202728																																																																																																																																	
10155	1774984	5432409	6107910																																																																																																																																	
10156	2172617																																																																																																																																			
10157	0																																																																																																																																			
10158	5241936	6237565	5460061	5010782	6151986	5385068	6109241	5063811	5819593																																																																																																																											
10159	5845265																																																																																																																																			
1015	5448991	7215984	5632272	6699194	6263222	6122535	6725074																																																																																																																													
10160	0																																																																																																																																			
10161	6542497	6104711	6359880	6359881	6282574	6122647	8000000																																																																																																																													
10162	3000000	6763226																																																																																																																																		
10163	5638267	4916635	6314473																																																																																																																																	
10164	6426095																																																																																																																																			
10165	5004681	5192553																																																																																																																																		
10166	5213236	5890621	2279130	5954237	5071017	5439143	5186347	6116457	6102245																																																																																																																											
10167	6075185	5500365	6403865	3849	6320100																																																																																																																															
10168	5474555	5190543	4366012	5360431	4805602	5129900																																																																																																																														
10169	5932334	6015612	5486553	6015611	5827607	5539027																																																																																																																														
1016	1402736	7874487	1002006																																																																																																																																	
10170	6244631																																																																																																																																			
10171	5229382	4115568	4115574																																																																																																																																	
10172	4652259																																																																																																																																			
10173	5367726	4579141	1839444																																																																																																																																	
10174	5382714	5648564																																																																																																																																		
